name,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Airat Shaimiev,1995,owner,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Ajay Kalsi,1998,founder,new,male,South Asia,privatized and resources,Resource Related,Energy,not inherited
Ajay Piramal,1984,founder,aquired,male,South Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Akihiko Otsuka,1921,relation,new,male,East Asia,inherited,New Sectors,Technology-Medical,father
Akio Morita,1946,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Akio Nitori,1967,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Akira Mori,1959,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Alain Bouchard,1980,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Alain Merieux,1897,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Alain Taravella,1994,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Alain Wertheimer,1909,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Alan Gerry,1956,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Alan Howard,2002,founder,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
Alan Rydge,1913,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Albert Blokker,1896,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Albert Frere,1956,founder,aquired,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Albert Shigaboutdinov,1995,owner,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Albert Ueltschi,1951,founder,new,male,North America,founder non-finance,0,Other,not inherited
Albert Yeung,1964,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Albert von Thurn und Taxis,1615,relation,new,male,Europe,inherited,Financial,Diversified financial,5th generation or longer
Alberto Alcocer,1952,owner,aquired,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Alberto Bailleres Gonzalez,1960,relation,privatization,male,Latin America,inherited,Resource Related,Mining and metals,father
Alberto Bombassei,1961,relation,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Alberto Cortina,1952,owner,aquired,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Alberto Roemmers,1921,relation,new,male,Latin America,inherited,New Sectors,Technology-Medical,father
Alberto Vilar,1980,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Alec Gores,1987,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Alejandro Santo Domingo Davila,1889,relation,aquired,male,Latin America,inherited,Traded Sectors,Consumer,father
Alejo Peralta,1939,relation,new,male,Latin America,inherited,Non-Traded Sectors,Media,father
Alex Beard,1974,leadership,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Abramov,1992,Chairman,aquired,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Alexander Dzhaparidze,1995,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Alexander Frolov,1992,ceo,aquired,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Knaster,2005,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Alexander Machkevich,1994,founder,new,male,Middle East/North Africa,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Mamut,1999,investor,new,male,Europe,privatized and resources,Financial,Diversified financial,not inherited
Alexander Nesis,1991,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Ponomarenko,1957,chairman,privatization,male,Europe,privatized and resources,Financial,Real Estate,not inherited
Alexander Putilov,1991,owner,subsidiary,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Alexander Rovt,1987,owner,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
Alexander Skorobogatko,1958,chairman,privatization,male,Europe,privatized and resources,Financial,Real Estate,not inherited
Alexander Spanos,1960,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Alexander Svetakov,1993,owner,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Alexander Vik,1980,investor,aquired,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Alexandra Schorghuber,1954,relation,new,female,Europe,inherited,Financial,Real Estate,spouse/widow
Alexandre Grendene Bartelle,1971,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Alexandre Soares dos Santos,1792,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Alexei Ananyev,1992,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Alexei Bogachev,1994,owner,new,male,Europe,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Alexei Kuzmichev,1989,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Alexei Mordashov,1993,general director,privatization,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Alexei Semin,1991,owner,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Alfonso Romo Garza,1981,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Alfred Heineken,1864,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Alfred James Clark,1906,chairman,aquired,male,North America,executive,Non-Traded Sectors,Constrution,not inherited
Alfred Lerner,1982,chairman,subsidiary,male,North America,executive,0,Other,not inherited
Alfred Mann,1956,founder,new,male,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Alfred Oetker,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Alfred Taubman,1950,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Alfred von Oppenheim,1789,relation,new,male,Europe,inherited,Financial,Money Management,4th generation
Alfredo Egydio Arruda Villela Filho,1966,relation,new,male,Latin America,inherited,Financial,Money Management,father
Alfredo Harp Helu,1884,owner,aquired,male,Latin America,self-made finance,Financial,Money Management,not inherited
Ali Ibrahim Agaoglu,1981,founder,new,male,Middle East/North Africa,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Alice Walton,1962,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Alicia Koplowitz,1952,relation,aquired,female,Europe,inherited,Non-Traded Sectors,Constrution,father
Alicia and Esther Koplowitz,1952,relation,aquired,female,Europe,inherited,Non-Traded Sectors,Constrution,father
Alijan Ibragimov,1994,founder,new,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Aliko Dangote,1981,founder and CEO,new,male,Sub-Saharan Africa,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Alisher Usmanov,1999,founder,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Allan Gray,1973,founder,new,male,Sub-Saharan Africa,self-made finance,Financial,Other,not inherited
Allan Slaight,1971,owner,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
Allan Wong,1976,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Aloke Lohia,1988,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Aloys Wobben,1984,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Aloysio de Andrade Faria,1925,relation,new,male,Latin America,inherited,Financial,Money Management,father
Alvaro Noboa,1946,relation,new,male,Latin America,inherited,Traded Sectors,Consumer,not inherited
Alvaro Saieh Bendeck,1871,Chairman,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Amalia Lacroze de Fortabat,1926,relation,new,female,Latin America,inherited,Non-Traded Sectors,Constrution,spouse/widow
Amancio Ortega,1975,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Americo Amorim,1870,relation,new,male,Europe,inherited,Resource Related,Energy,3rd generation
Amos Hosetter Jr,1964,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
"Amos Hostetter, Jr.",1964,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
An Kang,1992,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Ana Lucia de Mattos Barretto Villela,1966,relation,new,female,Latin America,inherited,Financial,Money Management,father
Ana Maria Brescia Cafferata,1889,relation,new,female,Latin America,inherited,Resource Related,Mining and metals,father
Ana Maria Marcondes Penido Sant'Anna,1945,relation,new,female,Latin America,inherited,0,Other,father
Anacleto Angelini,1955,founder,new,male,Latin America,privatized and resources,Resource Related,Energy,not inherited
Ananda Krishnan,1984,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
Anas Sefrioui,1988,founder,new,male,Middle East/North Africa,self-made finance,Financial,Real Estate,not inherited
Anatoly Lomakin,1992,owner,privatization,male,Europe,privatized and resources,Traded Sectors,Consumer,not inherited
Anatoly Sedykh,1999,founder,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Anders Holch Povlsen,1975,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Andre Esteves,2008,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Andre Kudelski,1951,relation,new,male,Europe,inherited,New Sectors,Technology-Computer,father
Andrea Della Valle,1920,relation,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Andrea Reimann-Ciardelli,1923,relation,aquired,female,North America,inherited,Traded Sectors,Consumer,father
Andreas Halvorsen,1999,founder and ceo,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
Andreas Struengmann,1986,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Andreas von Bechtolsheim,1982,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Andrei Bokarev,2002,president,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Andrei Filatov,1996,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Andrei Guriev,1929,chairman,privatization,male,Europe,privatized and resources,Traded Sectors,Consumer,not inherited
Andrei Klyamko,1995,owner,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Andrei Kosogov,1989,supervisory board or directors,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Andrei Kozitsyn,1935,president,privatization,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Andrei Kuzyaev,1991,founder,new,male,Europe,privatized and resources,Non-Traded Sectors,Media,not inherited
Andrei Molchanov,1993,founder,privatization,male,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Andrei Rappoport,1991,founder,aquired,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Andrei Skoch,1999,partner,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Andrej Babis,1993,owner and former CEO,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Andrew Beal,1988,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Andrew Cherng,1973,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Andrew Forrest,2003,Chairman,new,male,North America,privatized and resources,Resource Related,Mining and metals,not inherited
Andrew Gotianun,1955,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Andrew McKelvey,1967,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Andrew Tan,1993,Chairman and Chief Executive Officer,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Andrey Melnichenko,1993,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Andronico Luksic,1888,founder,aquired,male,Latin America,privatized and resources,Resource Related,Mining and metals,not inherited
Aneel Bhusri,1965,partner,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Angela Bennett,1955,relation,new,female,North America,inherited,Resource Related,Mining and metals,father
Angela Leong,1962,relation,new,female,East Asia,inherited,Financial,Real Estate,spouse/widow
Anil Agarwal,1986,founder,new,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Anil Ambani,1980,relation,new,male,South Asia,inherited,Financial,Diversified financial,not inherited
Anita Zucker,1670,relation,privatization,female,North America,inherited,Traded Sectors,Non-consumer industrial,spouse/widow
Ann Kroenke,1962,relation,new,female,North America,inherited,Traded Sectors,Consumer,father
Ann Walton Kroenke,1962,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Anne Beaufour,1929,relation,new,female,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Anne Cox Chambers,1898,relation,aquired,female,North America,inherited,Non-Traded Sectors,Media,father
Anne Gittinger,1901,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Anneliese Brost,1948,founder,new,female,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Anthony Bamford,1945,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Anthony O'Reilly,1904,chairman,new,male,Europe,executive,Non-Traded Sectors,Media,not inherited
Anthony Pratt,1948,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Anthony Pritzker,1957,relation,aquired,male,North America,inherited,Financial,Real Estate,father
"Anton Kathrein, Jr.",1919,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Anton Rupert,1940,relation,new,male,Sub-Saharan Africa,inherited,Traded Sectors,Consumer,father
Antonia Johnson,1873,relation,new,female,Europe,inherited,Financial,Diversified financial,4th generation
Antonio Champalimaud,1923,relation,new,male,Europe,inherited,Financial,Money Management,father
Antonio Del Valle Ruiz,1998,Honorary President for Life,aquired,male,Latin America,executive,Traded Sectors,Non-consumer industrial,not inherited
Antonio Ermirio de Moraes,1919,relation,new,male,Latin America,inherited,Financial,Diversified financial,father
Antonio Luiz Seabra,1969,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Antti Herlin,1910,relation,aquired,male,Europe,inherited,Traded Sectors,Non-consumer industrial,4th generation
Aras Agalarov,1998,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Archie Aldis Emmerson,1949,founder,new,male,North America,privatized and resources,Resource Related,Mining and metals,not inherited
Aristotelis Mistakidis,1974,"co-director of zinc, copper and lead",new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Arkady Rotenberg,1930,owner,"new, privitization",male,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Arkady Volozh,1997,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Arne Wilhelmsen,1969,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Arnon Milchan,1991,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,Media,not inherited
Arthur Blank,1979,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Arthur Irving,1924,relation,new,male,North America,inherited,Resource Related,Energy,father
Arthur Rock,1961,founder,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Arthur Williams Jr,1977,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Arturo Moreno,1947,CEO,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Ashwin Dani,1942,relation,new,male,South Asia,inherited,Traded Sectors,Consumer,father
Asok Kumar Hiranandani,1947,relation,new,male,East Asia,inherited,Financial,Real Estate,father
August Oetker,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
August von Finck,1890,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Augusto & Giorgio Perfetti,1946,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
"Austen Cargill, II.",1865,relation,new,male,North America,inherited,Financial,Money Management,3rd generation
Autrey family,0,,,,Latin America,,Traded Sectors,Non-consumer industrial,not inherited
Axel Oberwelland,1903,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Aydin Dogan,1961,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,Media,not inherited
Ayhan Sahenk,1951,founder,new,male,Middle East/North Africa,self-made finance,Financial,Money Management,not inherited
Ayman Asfari,1981,Chief Executive,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Ayman Hariri,1978,relation,aquired,male,Middle East/North Africa,inherited,Non-Traded Sectors,Constrution,father
Azim Premji,1945,relation,new,male,South Asia,inherited,New Sectors,Technology-Computer,father
Aziz Akhannouch,1959,relation,new,male,Middle East/North Africa,inherited,Resource Related,Energy,father
B. Wayne Hughes,1972,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
B.R. Shetty,1975,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Baba Kalyani,1961,relation,new,male,South Asia,inherited,0,Other,father
Bachtiar Karim,1932,relation,new,male,East Asia,inherited,Traded Sectors,Non-consumer industrial,father
Bahaa Hariri,1978,relation,aquired,male,Middle East/North Africa,inherited,Financial,Real Estate,father
Baldwin and Nikolaus Knauf,1953,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Banyong Lamsam,1945,relation,new,male,East Asia,inherited,Financial,Money Management,not inherited
Barbara Carlson Gage,1938,relation,new,female,North America,inherited,Financial,Real Estate,father
Barbara Cox Anthony,1898,relation,aquired,female,North America,inherited,Non-Traded Sectors,Media,father
Barbara Piasecka Johnson,1886,relation,new,female,North America,inherited,New Sectors,Technology-Medical,spouse/widow
Baron Hans Heinrich Thyssen-Bornemisza,1926,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,3rd generation
Barry Diller,1986,Chairman and Chief Executive Officer,new,male,North America,executive,Non-Traded Sectors,Media,not inherited
Barry Lam,1988,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Bassam Alghanim,1932,relation,new,male,Middle East/North Africa,inherited,Financial,Diversified financial,father
Belmiro de Azevedo,1959,chairman,aquired,male,Europe,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Bemberg family,1888,relation,new,,Latin America,inherited,Traded Sectors,Consumer,5th generation or longer
Benedicta Chamberlain,1887,relation,new,female,Europe,inherited,Traded Sectors,Consumer,spouse/widow
Benjamin de Rothschild,1953,relation,new,male,Europe,inherited,Financial,Money Management,father
Bennett Dorrance,1869,relation,aquired,male,North America,inherited,Traded Sectors,Consumer,3rd generation
Bent Jensen,1907,relation,new,male,Europe,inherited,New Sectors,Technology-Computer,3rd generation
Benu Gopal Bangur,1918,relation,new,male,South Asia,inherited,Non-Traded Sectors,Constrution,father
Beny Steinmetz,1940,relation,new,male,Middle East/North Africa,inherited,Resource Related,Mining and metals,father
Bergit Douglas,1891,relation,new,female,Europe,inherited,Traded Sectors,Consumer,4th generation
Bernard (Barry) Sherman,1959,relation,new,male,North America,inherited,New Sectors,Technology-Medical,father
Bernard Arnault,1987,founder,acquired,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Bernard Broermann,1984,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Bernard Ecclestone,1978,investor and  CEO,aquired,male,Europe,executive,0,Other,not inherited
Bernard Marcus,1979,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
"Bernard Saul, II.",1899,relation,new,male,North America,inherited,Financial,Money Management,3rd generation
Bernard Sherman,1959,relation,new,male,North America,inherited,New Sectors,Technology-Medical,father
Bernardo Garza Sada,1890,relation,new,male,Latin America,inherited,Financial,Diversified financial,3rd generation
Bernardo Matte,1920,relation,new,male,Latin America,inherited,Traded Sectors,Consumer,father
Bernd Freier,1969,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Bertil Hult,1977,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Bharat Desai,1980,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Bidzina Ivanishvili,1990,founder,new,male,Europe,privatized and resources,Financial,Diversified financial,not inherited
Bill Adderley,1979,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Bill Gates,1975,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Bill Gross,1971,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
"Bill Marriott, Jr.",1927,relation,new,male,North America,inherited,Financial,Real Estate,father
Billy Joe (Red) McCombs,1953,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Billy Joe McCombs,1958,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Binod Chaudhary,1970,relation,new,male,South Asia,self-made finance,Financial,Diversified financial,not inherited
Blair Parry-Okeden,1898,relation,aquired,female,North America,inherited,Non-Traded Sectors,Media,3rd generation
Blase Golisano,1971,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Bob Parsons,1997,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Boehringer family,1885,relation,new,,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Boonchai Bencharongkul,1989,chairman,new,male,East Asia,executive,Non-Traded Sectors,Media,not inherited
Boonsong Asavabhokhin,0,,,male,East Asia,,Financial,Real Estate,not inherited
Boris Mints,2010,owner,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Boris Rotenberg,1930,owner,"new, privitization",male,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Brad Kelley,1991,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Bradley Hughes,1972,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Brenninkmeijer family,1841,relation,new,,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",not inherited
Brian Acton,2009,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Brian Higgins,1995,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Brian Roberts,1969,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Brij Bhushan Singal,1987,founder,new,male,South Asia,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Brijmohan Lall Munjal,1947,founder,new,male,South Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Bruce Cheng,1971,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Bruce Halle,1960,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Bruce Karsh,1995,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Bruce Kovner,1983,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Bruce McCaw,1987,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Bruce Nordstrom,1901,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Brunello Cucinelli,1978,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Bruno Schroder,1800,relation,new,male,Europe,inherited,Financial,Money Management,4th generation
Bulat Utemuratov,1995,founder,new,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Bulent Eczacibasi,1942,relation,new,male,Middle East/North Africa,inherited,New Sectors,Technology-Medical,father
C. Dean Metropoulos,1990,investor,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
C. James Koch,1984,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Cai Dongqing,1999,chairman,new,male,East Asia,executive,New Sectors,Technology-Computer,not inherited
Cai Kui,1995,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Calisto Tanzi,1961,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Cao Kejian,1956,chairman,privatization,male,East Asia,privatized and resources,Traded Sectors,Non-consumer industrial,not inherited
Caprotti Bernardo,1957,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Carl Bennet,1989,investor,new,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Carl Berg,1965,owner,aquired,male,North America,self-made finance,Financial,Real Estate,not inherited
Carl Ferdinand Oetker,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Carl Icahn,1968,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Carl Lindner Jr,1959,founder,new,male,North America,founder non-finance,0,0,not inherited
Carl Pohlad,1920,owner,aquired,male,North America,self-made finance,Financial,Money Management,not inherited
Carlo Benetton,1965,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Carlo De Benedetti,1976,relation,aquired,male,Europe,inherited,Non-Traded Sectors,Media,father
Carlo Fidani,1948,relation,new,male,North America,inherited,Financial,Real Estate,3rd generation
Carlos Alberto Sicupira,1999,founder,aquired,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Carlos Ardila Lulle,1904,relation,aquired,male,Latin America,inherited,Traded Sectors,Consumer,father
Carlos Francisco Ribeiro Jereissati,1966,founder,new,male,Latin America,self-made finance,Financial,Real Estate,not inherited
Carlos Hank Rhon,1992,founder,new,male,Latin America,privatized and resources,Financial,Money Management,not inherited
Carlos Martins,1987,founder,new,male,Latin America,founder non-finance,0,Other,not inherited
Carlos Peralta,1939,relation,new,male,Latin America,inherited,Non-Traded Sectors,Media,father
Carlos Rodriguez-Pastor,1994,owner,privatization,male,Latin America,privatized and resources,Financial,Money Management,not inherited
Carlos Slim Helu,1990,founder,privatization,male,Latin America,privatized and resources,Non-Traded Sectors,Media,not inherited
Carlos and Alejandro Bulgheroni,1948,relation,new,male,Latin America,inherited,Resource Related,Energy,father
